inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
ivy-2.0.csv pf,0.16666666666666666,0.10526315789473684,0.14912280701754385,0.13157894736842105,0.15789473684210525,0.14035087719298245,0.14035087719298245,0.17543859649122806,0.17543859649122806,0.13157894736842105,0.10526315789473684,0.13596491228070173,0.14736842105263157,0.14473684210526316,0.16228070175438597,0.17543859649122806,0.021052631578947368
ivy-2.0.csv pf,0.11926605504587157,0.1651376146788991,0.13761467889908258,0.12844036697247707,0.1834862385321101,0.09174311926605505,0.11009174311926606,0.13761467889908258,0.13761467889908258,0.13761467889908258,0.09174311926605505,0.12385321100917432,0.13486238532110092,0.13761467889908258,0.13761467889908258,0.1834862385321101,0.0246343515267845
ivy-2.0.csv pf,0.17142857142857143,0.1523809523809524,0.11428571428571428,0.12380952380952381,0.10476190476190476,0.08571428571428572,0.12380952380952381,0.08571428571428572,0.06666666666666667,0.09523809523809523,0.06666666666666667,0.09047619047619047,0.11238095238095239,0.10952380952380952,0.12380952380952381,0.17142857142857143,0.030356909429541383
ivy-2.0.csv pf,0.1826086956521739,0.12173913043478261,0.16521739130434782,0.12173913043478261,0.17391304347826086,0.2,0.06956521739130435,0.1565217391304348,0.14782608695652175,0.13043478260869565,0.06956521739130435,0.12608695652173912,0.14695652173913046,0.15217391304347827,0.16956521739130434,0.2,0.03573690884875568
ivy-2.0.csv pf,0.18487394957983194,0.09243697478991597,0.15966386554621848,0.15126050420168066,0.1092436974789916,0.2184873949579832,0.12605042016806722,0.12605042016806722,0.07563025210084033,0.08403361344537816,0.07563025210084033,0.10084033613445378,0.13277310924369745,0.12605042016806722,0.15546218487394958,0.2184873949579832,0.043632789868057714
ivy-2.0.csv pf,0.16216216216216217,0.12612612612612611,0.08108108108108109,0.15315315315315314,0.05405405405405406,0.16216216216216217,0.12612612612612611,0.14414414414414414,0.09009009009009009,0.13513513513513514,0.05405405405405406,0.1081081081081081,0.12342342342342341,0.13063063063063063,0.14864864864864863,0.16216216216216217,0.03490337050055949
ivy-2.0.csv pf,0.1282051282051282,0.1111111111111111,0.11965811965811966,0.11965811965811966,0.1452991452991453,0.15384615384615385,0.1794871794871795,0.13675213675213677,0.13675213675213677,0.1111111111111111,0.1111111111111111,0.11965811965811966,0.1341880341880342,0.13247863247863248,0.14102564102564102,0.1794871794871795,0.02024396458517438
ivy-2.0.csv pf,0.23853211009174313,0.1559633027522936,0.1559633027522936,0.11009174311926606,0.11009174311926606,0.1559633027522936,0.09174311926605505,0.1743119266055046,0.2018348623853211,0.1651376146788991,0.09174311926605505,0.13302752293577982,0.1559633027522936,0.1559633027522936,0.16972477064220184,0.23853211009174313,0.042041978852805875
log4j-1.1.csv pf,0.3076923076923077,0.19230769230769232,0.38461538461538464,0.3076923076923077,0.15384615384615385,0.2692307692307692,0.46153846153846156,0.19230769230769232,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.23076923076923078,0.28846153846153844,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.0881264556722277
log4j-1.1.csv pf,0.18518518518518517,0.3333333333333333,0.25925925925925924,0.14814814814814814,0.2222222222222222,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.25925925925925924,0.2962962962962963,0.14814814814814814,0.18518518518518517,0.22592592592592592,0.2037037037037037,0.25925925925925924,0.3333333333333333,0.056047207223783535
log4j-1.1.csv pf,0.18518518518518517,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.14814814814814814,0.1111111111111111,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.14814814814814814,0.16666666666666666,0.16666666666666666,0.18518518518518517,0.2222222222222222,0.03795166950355407
log4j-1.1.csv pf,0.21428571428571427,0.2857142857142857,0.32142857142857145,0.35714285714285715,0.32142857142857145,0.5357142857142857,0.5,0.32142857142857145,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.3035714285714286,0.35,0.32142857142857145,0.35714285714285715,0.5357142857142857,0.09285714285714286
